CommentId,WorkerId,GSRightCount,Weight,FormalityRating,RespectRating,StereotypeRating,ToxicityRating,formalityCoded,respectCoded,stereotypeCoded,toxicityCoded,Platform,Comment,TOXICITY_SCORE,SEVERE_TOXICITY_SCORE,IDENTITY_ATTACK_SCORE,INSULT_SCORE,PROFANITY_SCORE,THREAT_SCORE
nw27,A1TFWB4P6PXA3M,3,1.0,Very informal,Disrespectful,Present,Toxic,4,1,3,6,1,"Christ's sake would u shut up w this.. We're always going to have police and we're always going to have counselors and we're always going to keep moving towards a better America, with or without you and your stupid input. How about u go eat something.",0.8716784,0.5615707,0.6814644,0.90872943,0.62397206,0.28376848
nw15,A1TFWB4P6PXA3M,3,1.0,Informal,Slightly Disrespectful,Not present,Toxic,3,2,1,6,1,"Humanity... undeniably the only species in the history of life on this planet that can be called a narcissist Evil.
",0.49184552,0.22199905,0.39049140000000004,0.6245904,0.10145686599999999,0.19555672
yt10,AHV4U78TUUDKI,3,1.0,Very informal,Disrespectful,Present,Hard_To_Say,4,1,3,4,2,You are such a biased and terrible “news” organization. Why don’t you tell the whole story? The numbers you reported means there is a 0.00055% chance of dying from CV in Sweden.,0.30131820000000004,0.13071324,0.13756728,0.35759148,0.09719028,0.09386699999999999
yt3,AHV4U78TUUDKI,3,1.0,Very informal,Slightly Disrespectful,Present,Toxic,4,2,3,6,2,Clog the street is the plan? They know about ESSENTIAL employees that need to travel right? Oh and they'll be saving lives unlike her hairdresser. ( no offense to hairdressers),0.096101955,0.040621433,0.03733117,0.07412244400000001,0.02708262,0.17155726
tw15,AHV4U78TUUDKI,3,1.0,Formal,Partially Respectful,Possibly present,Not_Toxic_At_All,2,3,2,1,3,"Can’t talk about their human rights when African Americans are still fighting for civil rights lol. We (America) can’t discuss any other counties human rights while ours are getting destroyed, while being a “democracy.”",0.40632084,0.23426819,0.6104486,0.29900079999999996,0.16226141,0.37202454
nw2,AHV4U78TUUDKI,3,1.0,Formal,Partially Respectful,Possibly present,Hard_To_Say,2,3,2,4,1,A common rule of thumb by wealth managers... its the 3rd generation that loses it..  And the cycle repeats.,0.06271943,0.013722073000000001,0.05798526,0.04190202,0.011731488,0.0329196
tw21,AHV4U78TUUDKI,3,1.0,Formal,Slightly Disrespectful,Present,Toxic,2,2,3,6,3,"Good! There is no reason to leave these effigies to people who did horrible, inhuman things standing. It's beyond time we get over the lies we were told in school about these supposed American heroes and acknowledge that they did shitty things and shouldn't be idolized for them.",0.66930974,0.3159528,0.23477411,0.5953457,0.81307477,0.15522663
yt9,AHV4U78TUUDKI,3,1.0,Formal,Slightly Disrespectful,Present,Hard_To_Say,2,2,3,4,2,"With research from Stanford out of Santa Clara, and similar work being done in Germany and LA all showing that the virus is far more widespread than previously thought, making the death rate vastly lower than previously thought, the real hard lesson is that politicians are incompetent to the point of almost being a public menace. And their idiocracy has caused untold amounts of economic strife and fallout.",0.29329735,0.082467474,0.15654142,0.3523373,0.068465814,0.19544321
nw4,AHV4U78TUUDKI,3,1.0,Formal,Partially Respectful,Not present,Not_Toxic,2,3,1,2,1,Disaster indeed. That for two weeks no one cared to wonder where he was is heartbreaking.,0.09393505,0.026564773,0.030147444,0.08247915,0.027348429,0.059725314
tw4,AHV4U78TUUDKI,3,1.0,Informal,Slightly Disrespectful,Possibly present,Hard_To_Say,3,2,2,4,3,"Wait until the prison numbers start coming in.
If they ever do.
Trump will think even that will dampen his reelection chances.
Wait until people start to put together the numbers of people who have died at home and weren't counted. It might double or triple current U.S. numbers.",0.10723468,0.036041647,0.07359354,0.11182657,0.015815761,0.18106164
nw27,AHV4U78TUUDKI,3,1.0,Very informal,Disrespectful,Present,Toxic,4,1,3,6,1,"Christ's sake would u shut up w this.. We're always going to have police and we're always going to have counselors and we're always going to keep moving towards a better America, with or without you and your stupid input. How about u go eat something.",0.8716784,0.5615707,0.6814644,0.90872943,0.62397206,0.28376848
nw15,AHV4U78TUUDKI,3,1.0,Formal,Slightly Disrespectful,Possibly present,Hard_To_Say,2,2,2,4,1,"Humanity... undeniably the only species in the history of life on this planet that can be called a narcissist Evil.
",0.49184552,0.22199905,0.39049140000000004,0.6245904,0.10145686599999999,0.19555672
yt10,AUQTHU5AOZVQC,2,0.75,Very formal,Disrespectful,Heavily present,Toxic,1,1,4,6,2,You are such a biased and terrible “news” organization. Why don’t you tell the whole story? The numbers you reported means there is a 0.00055% chance of dying from CV in Sweden.,0.30131820000000004,0.13071324,0.13756728,0.35759148,0.09719028,0.09386699999999999
tw29,AUQTHU5AOZVQC,2,0.75,Very formal,Disrespectful,Possibly present,Very_Toxic,1,1,2,7,3,"Well duh, freedom is all about your own freedom, not other people’s, life, liberty and the pursuit of happiness, fuck everyone else",0.9018226,0.75180644,0.45438802,0.734651,0.93690646,0.37434107
yt3,AUQTHU5AOZVQC,2,0.75,Informal,Partially Respectful,Heavily present,Hard_To_Say,3,3,4,4,2,Clog the street is the plan? They know about ESSENTIAL employees that need to travel right? Oh and they'll be saving lives unlike her hairdresser. ( no offense to hairdressers),0.096101955,0.040621433,0.03733117,0.07412244400000001,0.02708262,0.17155726
nw2,AUQTHU5AOZVQC,2,0.75,Formal,Respectful,Not present,Not_Toxic,2,4,1,2,1,A common rule of thumb by wealth managers... its the 3rd generation that loses it..  And the cycle repeats.,0.06271943,0.013722073000000001,0.05798526,0.04190202,0.011731488,0.0329196
yt17,AUQTHU5AOZVQC,2,0.75,Very formal,Respectful,Possibly present,Hard_To_Say,1,4,2,4,2,You look amazing. Thank you for your sweet words. Tell your son to turn himself in for being a pedophile. He has hurt many young girls.,0.62353015,0.38057655,0.45834672,0.6057816999999999,0.27035573,0.33307755
tw21,AUQTHU5AOZVQC,2,0.75,Very formal,Slightly Disrespectful,Heavily present,Toxic,1,2,4,6,3,"Good! There is no reason to leave these effigies to people who did horrible, inhuman things standing. It's beyond time we get over the lies we were told in school about these supposed American heroes and acknowledge that they did shitty things and shouldn't be idolized for them.",0.66930974,0.3159528,0.23477411,0.5953457,0.81307477,0.15522663
yt9,AUQTHU5AOZVQC,2,0.75,Very formal,Slightly Disrespectful,Heavily present,Toxic,1,2,4,6,2,"With research from Stanford out of Santa Clara, and similar work being done in Germany and LA all showing that the virus is far more widespread than previously thought, making the death rate vastly lower than previously thought, the real hard lesson is that politicians are incompetent to the point of almost being a public menace. And their idiocracy has caused untold amounts of economic strife and fallout.",0.29329735,0.082467474,0.15654142,0.3523373,0.068465814,0.19544321
nw4,AUQTHU5AOZVQC,2,0.75,Very formal,Respectful,Not present,Hard_To_Say,1,4,1,4,1,Disaster indeed. That for two weeks no one cared to wonder where he was is heartbreaking.,0.09393505,0.026564773,0.030147444,0.08247915,0.027348429,0.059725314
tw4,AUQTHU5AOZVQC,2,0.75,Very formal,Slightly Disrespectful,Heavily present,Very_Toxic,1,2,4,7,3,"Wait until the prison numbers start coming in.
If they ever do.
Trump will think even that will dampen his reelection chances.
Wait until people start to put together the numbers of people who have died at home and weren't counted. It might double or triple current U.S. numbers.",0.10723468,0.036041647,0.07359354,0.11182657,0.015815761,0.18106164
nw27,AUQTHU5AOZVQC,2,0.75,Very informal,Disrespectful,Possibly present,Toxic,4,1,2,6,1,"Christ's sake would u shut up w this.. We're always going to have police and we're always going to have counselors and we're always going to keep moving towards a better America, with or without you and your stupid input. How about u go eat something.",0.8716784,0.5615707,0.6814644,0.90872943,0.62397206,0.28376848
nw15,AUQTHU5AOZVQC,2,0.75,Formal,Disrespectful,Heavily present,Toxic,2,1,4,6,1,"Humanity... undeniably the only species in the history of life on this planet that can be called a narcissist Evil.
",0.49184552,0.22199905,0.39049140000000004,0.6245904,0.10145686599999999,0.19555672
yt10,A70L26UXLTGLC,3,1.0,Formal,Slightly Disrespectful,Possibly present,Toxic,2,2,2,6,2,You are such a biased and terrible “news” organization. Why don’t you tell the whole story? The numbers you reported means there is a 0.00055% chance of dying from CV in Sweden.,0.30131820000000004,0.13071324,0.13756728,0.35759148,0.09719028,0.09386699999999999
tw29,A70L26UXLTGLC,3,1.0,Very informal,Disrespectful,Possibly present,Very_Toxic,4,1,2,7,3,"Well duh, freedom is all about your own freedom, not other people’s, life, liberty and the pursuit of happiness, fuck everyone else",0.9018226,0.75180644,0.45438802,0.734651,0.93690646,0.37434107
yt3,A70L26UXLTGLC,3,1.0,Informal,Disrespectful,Not present,Hard_To_Say_Toxic,3,1,1,5,2,Clog the street is the plan? They know about ESSENTIAL employees that need to travel right? Oh and they'll be saving lives unlike her hairdresser. ( no offense to hairdressers),0.096101955,0.040621433,0.03733117,0.07412244400000001,0.02708262,0.17155726
tw15,A70L26UXLTGLC,3,1.0,Informal,Slightly Disrespectful,Possibly present,Toxic,3,2,2,6,3,"Can’t talk about their human rights when African Americans are still fighting for civil rights lol. We (America) can’t discuss any other counties human rights while ours are getting destroyed, while being a “democracy.”",0.40632084,0.23426819,0.6104486,0.29900079999999996,0.16226141,0.37202454
nw2,A70L26UXLTGLC,3,1.0,Informal,Partially Respectful,Present,Not_Toxic,3,3,3,2,1,A common rule of thumb by wealth managers... its the 3rd generation that loses it..  And the cycle repeats.,0.06271943,0.013722073000000001,0.05798526,0.04190202,0.011731488,0.0329196
tw21,A70L26UXLTGLC,3,1.0,Informal,Disrespectful,Present,Toxic,3,1,3,6,3,"Good! There is no reason to leave these effigies to people who did horrible, inhuman things standing. It's beyond time we get over the lies we were told in school about these supposed American heroes and acknowledge that they did shitty things and shouldn't be idolized for them.",0.66930974,0.3159528,0.23477411,0.5953457,0.81307477,0.15522663
yt9,A70L26UXLTGLC,3,1.0,Formal,Disrespectful,Present,Toxic,2,1,3,6,2,"With research from Stanford out of Santa Clara, and similar work being done in Germany and LA all showing that the virus is far more widespread than previously thought, making the death rate vastly lower than previously thought, the real hard lesson is that politicians are incompetent to the point of almost being a public menace. And their idiocracy has caused untold amounts of economic strife and fallout.",0.29329735,0.082467474,0.15654142,0.3523373,0.068465814,0.19544321
nw4,A70L26UXLTGLC,3,1.0,Informal,Slightly Disrespectful,Not present,Hard_To_Say_Toxic,3,2,1,5,1,Disaster indeed. That for two weeks no one cared to wonder where he was is heartbreaking.,0.09393505,0.026564773,0.030147444,0.08247915,0.027348429,0.059725314
nw27,A70L26UXLTGLC,3,1.0,Informal,Disrespectful,Present,Toxic,3,1,3,6,1,"Christ's sake would u shut up w this.. We're always going to have police and we're always going to have counselors and we're always going to keep moving towards a better America, with or without you and your stupid input. How about u go eat something.",0.8716784,0.5615707,0.6814644,0.90872943,0.62397206,0.28376848
nw15,A70L26UXLTGLC,3,1.0,Formal,Slightly Disrespectful,Present,Toxic,2,2,3,6,1,"Humanity... undeniably the only species in the history of life on this planet that can be called a narcissist Evil.
",0.49184552,0.22199905,0.39049140000000004,0.6245904,0.10145686599999999,0.19555672
yt10,A1V2M2C00I5SWW,3,1.0,Formal,Disrespectful,Possibly present,Toxic,2,1,2,6,2,You are such a biased and terrible “news” organization. Why don’t you tell the whole story? The numbers you reported means there is a 0.00055% chance of dying from CV in Sweden.,0.30131820000000004,0.13071324,0.13756728,0.35759148,0.09719028,0.09386699999999999
tw29,A1V2M2C00I5SWW,3,1.0,Very informal,Disrespectful,Possibly present,Very_Toxic,4,1,2,7,3,"Well duh, freedom is all about your own freedom, not other people’s, life, liberty and the pursuit of happiness, fuck everyone else",0.9018226,0.75180644,0.45438802,0.734651,0.93690646,0.37434107
yt3,A1V2M2C00I5SWW,3,1.0,Informal,Slightly Disrespectful,Possibly present,Toxic,3,2,2,6,2,Clog the street is the plan? They know about ESSENTIAL employees that need to travel right? Oh and they'll be saving lives unlike her hairdresser. ( no offense to hairdressers),0.096101955,0.040621433,0.03733117,0.07412244400000001,0.02708262,0.17155726
nw2,A1V2M2C00I5SWW,3,1.0,Informal,Slightly Disrespectful,Possibly present,Toxic,3,2,2,6,1,A common rule of thumb by wealth managers... its the 3rd generation that loses it..  And the cycle repeats.,0.06271943,0.013722073000000001,0.05798526,0.04190202,0.011731488,0.0329196
yt17,A1V2M2C00I5SWW,3,1.0,Very formal,Disrespectful,Not present,Very_Toxic,1,1,1,7,2,You look amazing. Thank you for your sweet words. Tell your son to turn himself in for being a pedophile. He has hurt many young girls.,0.62353015,0.38057655,0.45834672,0.6057816999999999,0.27035573,0.33307755
tw21,A1V2M2C00I5SWW,3,1.0,Very formal,Slightly Disrespectful,Not present,Toxic,1,2,1,6,3,"Good! There is no reason to leave these effigies to people who did horrible, inhuman things standing. It's beyond time we get over the lies we were told in school about these supposed American heroes and acknowledge that they did shitty things and shouldn't be idolized for them.",0.66930974,0.3159528,0.23477411,0.5953457,0.81307477,0.15522663
yt9,A1V2M2C00I5SWW,3,1.0,Formal,Slightly Disrespectful,Present,Not_Toxic,2,2,3,2,2,"With research from Stanford out of Santa Clara, and similar work being done in Germany and LA all showing that the virus is far more widespread than previously thought, making the death rate vastly lower than previously thought, the real hard lesson is that politicians are incompetent to the point of almost being a public menace. And their idiocracy has caused untold amounts of economic strife and fallout.",0.29329735,0.082467474,0.15654142,0.3523373,0.068465814,0.19544321
nw4,A1V2M2C00I5SWW,3,1.0,Very formal,Respectful,Not present,Hard_To_Say,1,4,1,4,1,Disaster indeed. That for two weeks no one cared to wonder where he was is heartbreaking.,0.09393505,0.026564773,0.030147444,0.08247915,0.027348429,0.059725314
tw4,A1V2M2C00I5SWW,3,1.0,Formal,Respectful,Not present,Not_Toxic,2,4,1,2,3,"Wait until the prison numbers start coming in.
If they ever do.
Trump will think even that will dampen his reelection chances.
Wait until people start to put together the numbers of people who have died at home and weren't counted. It might double or triple current U.S. numbers.",0.10723468,0.036041647,0.07359354,0.11182657,0.015815761,0.18106164
nw27,A1V2M2C00I5SWW,3,1.0,Very informal,Disrespectful,Not present,Toxic,4,1,1,6,1,"Christ's sake would u shut up w this.. We're always going to have police and we're always going to have counselors and we're always going to keep moving towards a better America, with or without you and your stupid input. How about u go eat something.",0.8716784,0.5615707,0.6814644,0.90872943,0.62397206,0.28376848
nw15,A1V2M2C00I5SWW,3,1.0,Very formal,Slightly Disrespectful,Not present,Toxic,1,2,1,6,1,"Humanity... undeniably the only species in the history of life on this planet that can be called a narcissist Evil.
",0.49184552,0.22199905,0.39049140000000004,0.6245904,0.10145686599999999,0.19555672
tw19,A1QA5EWFMNKGTA,3,1.0,Informal,Slightly Disrespectful,Not present,Toxic,3,2,1,6,3,Great. So threats of violence work. Caving to this pressure will just cause more people to act violently to get their way. This country is fvcked,0.6048689,0.4502947,0.39621818,0.55886924,0.6200901,0.7081935
tw1,A1QA5EWFMNKGTA,3,1.0,Formal,Respectful,Not present,Not_Toxic,2,4,1,2,3,If you're not a senior you can't shop in the morning,0.0788915,0.021012487000000003,0.067487605,0.05795362,0.027678598,0.034484982000000004
nw13,A1QA5EWFMNKGTA,3,1.0,Informal,Slightly Disrespectful,Present,Toxic,3,2,3,6,1,"Just a bunch of Democrat cover up... Clinton's, Prince Edward, and all Epstien Democrat party done this... Epstien didn't kill himself....",0.40332764,0.17565106,0.095212765,0.34357459999999995,0.08748921,0.69911623
nw16,A1QA5EWFMNKGTA,3,1.0,Informal,Slightly Disrespectful,Not present,Hard_To_Say,3,2,1,4,1,"Haha, an entire closet full of toilet paper outta quell any panic known to man; I guess it did for a whole bunch of people.",0.5154597,0.23135361,0.20459111,0.6356477,0.20641817,0.15440285
nw12,A1QA5EWFMNKGTA,3,1.0,Formal,Slightly Disrespectful,Present,Not_Toxic_Hard_To_Say,2,2,3,3,1,"Oh well.
It's the South.
Thinning of the herd/Darwinism.
Just stay the hell out of decent States.",0.37527052,0.23559551,0.3872907,0.29198359999999995,0.33439115,0.34734812
yt1,A1QA5EWFMNKGTA,3,1.0,Informal,Slightly Disrespectful,Not present,Hard_To_Say,3,2,1,4,2,Are they going to pressure clean the customer before & after?,0.036209333999999996,0.01247818,0.012036638999999998,0.014615206,0.009137516,0.08243305
yt19,A1QA5EWFMNKGTA,3,1.0,Formal,Respectful,Not present,Not_Toxic,2,4,1,2,2,"Seeing him turn into spiderman was the best one, god damn Miles Morales right there. An Amazingly talented dude.",0.66791856,0.3479038,0.17200176,0.5637008000000001,0.876051,0.14492773
tw22,A1QA5EWFMNKGTA,3,1.0,Formal,Slightly Disrespectful,Not present,Not_Toxic,2,2,1,2,3,"Destroying the livelihoods and honorable service of empowered black women. What a fail Seattle, what a fail...",0.7030649999999999,0.5056305,0.8568503000000001,0.640011,0.27980578,0.41388378
yt20,A1QA5EWFMNKGTA,3,1.0,Formal,Partially Respectful,Not present,Not_Toxic,2,3,1,2,2,This is so crazy and dumb that I love it - might be the first time I buy a football jersey,0.6862022,0.34685346,0.19547836,0.70795655,0.6911254,0.11440424
tw8,A1QA5EWFMNKGTA,3,1.0,Informal,Slightly Disrespectful,Not present,Hard_To_Say_Toxic,3,2,1,5,3,Who did the shooting? I don’t trust your stories. Possible BS.,0.24028872,0.07503338,0.033183082999999995,0.13285254,0.18660478,0.29038864
yt15,A1QA5EWFMNKGTA,3,1.0,Formal,Slightly Disrespectful,Not present,Hard_To_Say_Toxic,2,2,1,5,2,Make sure to block all the mucus projectiles coming out of your chin,0.5260894,0.39130214,0.4199476,0.4257138,0.26686645,0.61497104
nw17,A1QA5EWFMNKGTA,3,1.0,Informal,Slightly Disrespectful,Not present,Hard_To_Say,3,2,1,4,1,"This guy effectively stole 200,000 dollars. Personally, I think he deserves much more time. He is no different than car thief or burglar. At least 10 years and he will be out in 6",0.53490317,0.22655538,0.11701443,0.6356477,0.15550550000000002,0.2282507
tw19,A219VCQZADQ45W,3,1.0,Very informal,Slightly Disrespectful,Not present,Toxic,4,2,1,6,3,Great. So threats of violence work. Caving to this pressure will just cause more people to act violently to get their way. This country is fvcked,0.6048689,0.4502947,0.39621818,0.55886924,0.6200901,0.7081935
tw1,A219VCQZADQ45W,3,1.0,Formal,Respectful,Not present,Not_Toxic,2,4,1,2,3,If you're not a senior you can't shop in the morning,0.0788915,0.021012487000000003,0.067487605,0.05795362,0.027678598,0.034484982000000004
nw13,A219VCQZADQ45W,3,1.0,Informal,Slightly Disrespectful,Present,Toxic,3,2,3,6,1,"Just a bunch of Democrat cover up... Clinton's, Prince Edward, and all Epstien Democrat party done this... Epstien didn't kill himself....",0.40332764,0.17565106,0.095212765,0.34357459999999995,0.08748921,0.69911623
nw16,A219VCQZADQ45W,3,1.0,Very informal,Slightly Disrespectful,Not present,Not_Toxic,4,2,1,2,1,"Haha, an entire closet full of toilet paper outta quell any panic known to man; I guess it did for a whole bunch of people.",0.5154597,0.23135361,0.20459111,0.6356477,0.20641817,0.15440285
nw12,A219VCQZADQ45W,3,1.0,Very informal,Disrespectful,Present,Toxic,4,1,3,6,1,"Oh well.
It's the South.
Thinning of the herd/Darwinism.
Just stay the hell out of decent States.",0.37527052,0.23559551,0.3872907,0.29198359999999995,0.33439115,0.34734812
yt1,A219VCQZADQ45W,3,1.0,Informal,Respectful,Not present,Not_Toxic,3,4,1,2,2,Are they going to pressure clean the customer before & after?,0.036209333999999996,0.01247818,0.012036638999999998,0.014615206,0.009137516,0.08243305
yt19,A219VCQZADQ45W,3,1.0,Very informal,Slightly Disrespectful,Not present,Hard_To_Say,4,2,1,4,2,"Seeing him turn into spiderman was the best one, god damn Miles Morales right there. An Amazingly talented dude.",0.66791856,0.3479038,0.17200176,0.5637008000000001,0.876051,0.14492773
tw22,A219VCQZADQ45W,3,1.0,Formal,Slightly Disrespectful,Possibly present,Hard_To_Say_Toxic,2,2,2,5,3,"Destroying the livelihoods and honorable service of empowered black women. What a fail Seattle, what a fail...",0.7030649999999999,0.5056305,0.8568503000000001,0.640011,0.27980578,0.41388378
tw8,A219VCQZADQ45W,3,1.0,Informal,Slightly Disrespectful,Not present,Hard_To_Say,3,2,1,4,3,Who did the shooting? I don’t trust your stories. Possible BS.,0.24028872,0.07503338,0.033183082999999995,0.13285254,0.18660478,0.29038864
yt15,A219VCQZADQ45W,3,1.0,Formal,Disrespectful,Possibly present,Toxic,2,1,2,6,2,Make sure to block all the mucus projectiles coming out of your chin,0.5260894,0.39130214,0.4199476,0.4257138,0.26686645,0.61497104
nw17,A219VCQZADQ45W,3,1.0,Informal,Partially Respectful,Possibly present,Hard_To_Say_Toxic,3,3,2,5,1,"This guy effectively stole 200,000 dollars. Personally, I think he deserves much more time. He is no different than car thief or burglar. At least 10 years and he will be out in 6",0.53490317,0.22655538,0.11701443,0.6356477,0.15550550000000002,0.2282507
tw19,A14NP6X071S7GK,3,1.0,Very informal,Disrespectful,Possibly present,Hard_To_Say,4,1,2,4,3,Great. So threats of violence work. Caving to this pressure will just cause more people to act violently to get their way. This country is fvcked,0.6048689,0.4502947,0.39621818,0.55886924,0.6200901,0.7081935
tw1,A14NP6X071S7GK,3,1.0,Formal,Slightly Disrespectful,Possibly present,Not_Toxic,2,2,2,2,3,If you're not a senior you can't shop in the morning,0.0788915,0.021012487000000003,0.067487605,0.05795362,0.027678598,0.034484982000000004
nw13,A14NP6X071S7GK,3,1.0,Informal,Disrespectful,Heavily present,Toxic,3,1,4,6,1,"Just a bunch of Democrat cover up... Clinton's, Prince Edward, and all Epstien Democrat party done this... Epstien didn't kill himself....",0.40332764,0.17565106,0.095212765,0.34357459999999995,0.08748921,0.69911623
nw16,A14NP6X071S7GK,3,1.0,Informal,Partially Respectful,Not present,Not_Toxic,3,3,1,2,1,"Haha, an entire closet full of toilet paper outta quell any panic known to man; I guess it did for a whole bunch of people.",0.5154597,0.23135361,0.20459111,0.6356477,0.20641817,0.15440285
nw12,A14NP6X071S7GK,3,1.0,Informal,Disrespectful,Heavily present,Toxic,3,1,4,6,1,"Oh well.
It's the South.
Thinning of the herd/Darwinism.
Just stay the hell out of decent States.",0.37527052,0.23559551,0.3872907,0.29198359999999995,0.33439115,0.34734812
yt1,A14NP6X071S7GK,3,1.0,Formal,Slightly Disrespectful,Possibly present,Not_Toxic,2,2,2,2,2,Are they going to pressure clean the customer before & after?,0.036209333999999996,0.01247818,0.012036638999999998,0.014615206,0.009137516,0.08243305
yt19,A14NP6X071S7GK,3,1.0,Informal,Respectful,Not present,Not_Toxic,3,4,1,2,2,"Seeing him turn into spiderman was the best one, god damn Miles Morales right there. An Amazingly talented dude.",0.66791856,0.3479038,0.17200176,0.5637008000000001,0.876051,0.14492773
tw22,A14NP6X071S7GK,3,1.0,Informal,Slightly Disrespectful,Heavily present,Toxic,3,2,4,6,3,"Destroying the livelihoods and honorable service of empowered black women. What a fail Seattle, what a fail...",0.7030649999999999,0.5056305,0.8568503000000001,0.640011,0.27980578,0.41388378
yt20,A14NP6X071S7GK,3,1.0,Informal,Partially Respectful,Not present,Not_Toxic_At_All,3,3,1,1,2,This is so crazy and dumb that I love it - might be the first time I buy a football jersey,0.6862022,0.34685346,0.19547836,0.70795655,0.6911254,0.11440424
tw8,A14NP6X071S7GK,3,1.0,Very informal,Disrespectful,Not present,Very_Toxic,4,1,1,7,3,Who did the shooting? I don’t trust your stories. Possible BS.,0.24028872,0.07503338,0.033183082999999995,0.13285254,0.18660478,0.29038864
tw19,A1ZZ7YO3YASNIP,3,1.0,Informal,Slightly Disrespectful,Possibly present,Toxic,3,2,2,6,3,Great. So threats of violence work. Caving to this pressure will just cause more people to act violently to get their way. This country is fvcked,0.6048689,0.4502947,0.39621818,0.55886924,0.6200901,0.7081935
tw1,A1ZZ7YO3YASNIP,3,1.0,Formal,Slightly Disrespectful,Possibly present,Not_Toxic,2,2,2,2,3,If you're not a senior you can't shop in the morning,0.0788915,0.021012487000000003,0.067487605,0.05795362,0.027678598,0.034484982000000004
nw13,A1ZZ7YO3YASNIP,3,1.0,Informal,Slightly Disrespectful,Possibly present,Toxic,3,2,2,6,1,"Just a bunch of Democrat cover up... Clinton's, Prince Edward, and all Epstien Democrat party done this... Epstien didn't kill himself....",0.40332764,0.17565106,0.095212765,0.34357459999999995,0.08748921,0.69911623
nw16,A1ZZ7YO3YASNIP,3,1.0,Informal,Partially Respectful,Not present,Not_Toxic,3,3,1,2,1,"Haha, an entire closet full of toilet paper outta quell any panic known to man; I guess it did for a whole bunch of people.",0.5154597,0.23135361,0.20459111,0.6356477,0.20641817,0.15440285
